City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atar,MR,72.0,broken clouds,20.5169,-13.0499,Oumou Elghoura
2,Champerico,GT,80.35,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
3,Busselton,AU,69.04,clear sky,-33.65,115.3333,Observatory Guest House
4,Socorro,US,71.89,few clouds,31.6546,-106.3033,guarderia imss papalote
5,Labuhan,ID,87.28,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
6,Manggar,ID,86.16,overcast clouds,-2.8833,108.2667,Guest Hotel
7,Mataura,NZ,72.9,overcast clouds,-46.1927,168.8643,Ellie's Villa
9,Aswan,EG,74.7,clear sky,24.0934,32.907,Nuba Nile
10,Nara,JP,72.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
11,Jamestown,US,48.72,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
14,Kapchorwa,UG,59.61,light rain,1.3965,34.4509,Amis Cheshari's Residence
16,Nikolskoye,RU,38.01,moderate rain,59.7035,30.7861,Tourist House - Sablino
17,Petrykiv,UA,38.48,overcast clouds,49.5332,25.5809,Hotel Pallada
18,Whitehorse,CA,14.31,scattered clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
19,Puerto Ayora,EC,69.51,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Hualmay,PE,63.77,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
21,La Ronge,CA,32.83,broken clouds,55.1001,-105.2842,Northland Motor Hotel
22,Akdepe,TM,23.0,clear sky,42.0551,59.3788,Мой дом
23,Aksay,RU,34.02,overcast clouds,47.26,39.87,Chernaya Zhemchuzhina
24,Trogir,HR,62.58,overcast clouds,43.5125,16.2517,Hotel Medena
25,Ucluelet,CA,41.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
26,Deqing,CN,48.94,clear sky,30.5448,119.9599,Narada Boutique Hotel Huzhou Deqing
27,Cidreira,BR,61.84,clear sky,-30.1811,-50.2056,Hotel Castelo
28,Husavik,IS,33.39,snow,66.0449,-17.3389,Bjarnabúð
29,Luocheng,CN,50.77,clear sky,29.3848,104.0286,Luocheng Hotel
30,Hilo,US,76.73,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
31,Barrow,US,24.82,overcast clouds,71.2906,-156.7887,King Eider Inn
32,New Norfolk,AU,68.67,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
33,Cape Town,ZA,59.11,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
34,Strezhevoy,RU,31.98,light snow,60.7333,77.5889,Sibiryachka
35,Hermanus,ZA,56.89,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
36,Ushuaia,AR,34.52,scattered clouds,-54.8,-68.3,Albatros Hotel
37,San Quintin,MX,61.86,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
38,East London,ZA,64.51,light rain,-33.0153,27.9116,Tu Casa
39,Torbay,CA,46.27,broken clouds,47.6666,-52.7314,Gallows Cove
40,Rikitea,PF,75.54,light rain,-23.1203,-134.9692,People ThankYou
