City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Atar,20.5169,-13.0499,72.0,29,62,5.86,MR,broken clouds
1,Chokurdakh,70.6333,147.9167,-14.62,94,88,6.46,RU,overcast clouds
2,Champerico,14.3,-91.9167,80.35,80,69,1.34,GT,broken clouds
3,Busselton,-33.65,115.3333,69.04,48,3,10.04,AU,clear sky
4,Socorro,31.6546,-106.3033,71.89,27,20,6.91,US,few clouds
5,Labuhan,-6.8844,112.2051,87.28,61,100,3.69,ID,overcast clouds
6,Manggar,-2.8833,108.2667,86.16,65,99,3.58,ID,overcast clouds
7,Mataura,-46.1927,168.8643,72.9,40,100,1.14,NZ,overcast clouds
8,Moba,33.2288,105.0179,27.03,81,49,3.29,CN,scattered clouds
9,Aswan,24.0934,32.907,74.7,34,0,8.16,EG,clear sky
10,Nara,34.6851,135.8049,72.5,43,93,15.48,JP,overcast clouds
11,Jamestown,42.097,-79.2353,48.72,87,1,1.99,US,clear sky
12,Hithadhoo,-0.6,73.0833,82.24,72,98,13.0,MV,overcast clouds
13,Avera,33.194,-82.5271,53.47,51,0,6.82,US,clear sky
14,Kapchorwa,1.3965,34.4509,59.61,80,100,2.75,UG,light rain
15,Provideniya,64.3833,-173.3,17.71,73,75,4.47,RU,broken clouds
16,Nikolskoye,59.7035,30.7861,38.01,97,100,9.73,RU,moderate rain
17,Petrykiv,49.5332,25.5809,38.48,81,100,9.84,UA,overcast clouds
18,Whitehorse,60.7161,-135.0538,14.31,85,36,4.0,CA,scattered clouds
19,Puerto Ayora,-0.7393,-90.3518,69.51,81,45,8.12,EC,scattered clouds
20,Hualmay,-11.0964,-77.6139,63.77,83,96,7.38,PE,overcast clouds
21,La Ronge,55.1001,-105.2842,32.83,66,52,5.64,CA,broken clouds
22,Akdepe,42.0551,59.3788,23.0,27,0,4.16,TM,clear sky
23,Aksay,47.26,39.87,34.02,65,97,4.25,RU,overcast clouds
24,Trogir,43.5125,16.2517,62.58,94,90,1.14,HR,overcast clouds
25,Ucluelet,48.9329,-125.5528,41.09,88,91,11.36,CA,overcast clouds
26,Deqing,30.5448,119.9599,48.94,39,10,15.97,CN,clear sky
27,Cidreira,-30.1811,-50.2056,61.84,73,6,3.47,BR,clear sky
28,Husavik,66.0449,-17.3389,33.39,97,100,12.48,IS,snow
29,Luocheng,29.3848,104.0286,50.77,50,9,5.21,CN,clear sky
30,Hilo,19.7297,-155.09,76.73,81,75,6.91,US,light rain
31,Barrow,71.2906,-156.7887,24.82,63,90,13.8,US,overcast clouds
32,New Norfolk,-42.7826,147.0587,68.67,31,12,5.99,AU,few clouds
33,Cape Town,-33.9258,18.4232,59.11,73,56,3.0,ZA,broken clouds
34,Strezhevoy,60.7333,77.5889,31.98,95,100,13.27,RU,light snow
35,Hermanus,-34.4187,19.2345,56.89,73,56,3.78,ZA,broken clouds
36,Ushuaia,-54.8,-68.3,34.52,91,30,4.83,AR,scattered clouds
37,San Quintin,30.4833,-115.95,61.86,85,19,4.59,MX,few clouds
38,East London,-33.0153,27.9116,64.51,93,100,8.66,ZA,light rain
39,Torbay,47.6666,-52.7314,46.27,87,76,3.0,CA,broken clouds
40,Rikitea,-23.1203,-134.9692,75.54,75,100,12.5,PF,light rain
41,Tiksi,71.6872,128.8694,13.82,78,100,24.61,RU,overcast clouds
42,Comodoro Rivadavia,-45.8667,-67.5,55.26,67,0,6.91,AR,clear sky
43,Kiruna,67.8557,20.2251,9.52,85,16,4.61,SE,few clouds
44,Atuona,-9.8,-139.0333,78.39,75,9,16.71,PF,clear sky
45,Ostrovnoy,68.0531,39.5131,23.0,89,99,11.81,RU,light snow
46,Punta Arenas,-53.15,-70.9167,44.71,70,40,16.11,CL,scattered clouds
47,Lang Son,21.8333,106.7333,58.5,68,100,14.18,VN,overcast clouds
48,Muhos,64.808,25.9931,19.18,76,4,4.16,FI,clear sky
49,Sorong,-0.8833,131.25,84.9,73,9,5.32,ID,clear sky
50,Datong,40.0936,113.2914,14.65,77,15,3.24,CN,few clouds
51,Norman Wells,65.282,-126.8329,3.87,94,100,7.65,CA,overcast clouds
52,Chernyshevskiy,63.0128,112.4714,24.04,92,100,10.02,RU,light snow
53,Presidencia Roque Saenz Pena,-26.7852,-60.4388,70.02,72,96,3.06,AR,overcast clouds
54,Pangnirtung,66.1451,-65.7125,7.68,77,26,5.73,CA,scattered clouds
55,Bluff,-46.6,168.3333,61.5,64,88,9.91,NZ,overcast clouds
56,Ponta Delgada,37.7333,-25.6667,70.5,83,40,14.97,PT,scattered clouds
57,Bredasdorp,-34.5322,20.0403,50.29,80,83,2.73,ZA,broken clouds
58,Bryant,34.5959,-92.4891,53.37,88,0,4.07,US,clear sky
59,Bardiyah,31.7561,25.0865,66.88,79,3,4.43,LY,clear sky
60,Cochabamba,-17.3895,-66.1568,64.2,59,98,1.01,BO,overcast clouds
61,Port Augusta,-32.5,137.7667,74.71,36,100,11.41,AU,overcast clouds
62,Khatanga,71.9667,102.5,7.84,95,99,11.45,RU,overcast clouds
63,Tynda,55.1667,124.7167,15.6,62,4,2.26,RU,clear sky
64,Yellowknife,62.456,-114.3525,27.41,99,100,7.58,CA,overcast clouds
65,Saint-Philippe,-21.3585,55.7679,75.47,79,40,9.69,RE,scattered clouds
66,Plettenberg Bay,-34.0527,23.3716,58.06,91,100,4.25,ZA,light rain
67,Igrim,63.1906,64.4162,32.58,87,97,7.99,RU,overcast clouds
68,Bambous Virieux,-20.3428,57.7575,78.22,79,89,10.87,MU,overcast clouds
